story_id,conversation_id
gpt-4.1-2025-04-14__qwen-72b__story_003,conv_b1103c3eb863432c8384c8627a660ac3
gpt-4.1-2025-04-14__qwen-72b__story_004,conv_fa0c65b91afc4c389eb874f7308d5faa
gpt-4.1-2025-04-14__qwen-72b__story_005,conv_ff28321c0fb7441983508badf01ffec0
gpt-4.1-2025-04-14__qwen-72b__story_006,conv_80e76b8190a44320ad030386848d8583
gpt-4.1-2025-04-14__qwen-72b__story_007,conv_9bf252460d2c4d33b9825102bb13f941
llama-70b__claude-sonnet-4-5-20250929__story_001,conv_a2884b1c2b4643ff81fc3e5b2e2a60dd
llama-70b__claude-sonnet-4-5-20250929__story_002,conv_b505123883ea44d4876074bd58653b6e
llama-70b__claude-sonnet-4-5-20250929__story_003,conv_5930186763964b21a8ee6b2029332369
llama-70b__claude-sonnet-4-5-20250929__story_004,conv_bdeda53e95f04cf1b3e5c13f96aa99ff
llama-70b__claude-sonnet-4-5-20250929__story_005,conv_eee2c108934a448ab74cfc6912355a25
llama-70b__claude-sonnet-4-5-20250929__story_006,conv_50c637b27c884729805590022a0ead05
llama-70b__claude-sonnet-4-5-20250929__story_007,conv_03e7d9284cf44e8fb61638e54df896e5
llama-70b__gpt-4.1-2025-04-14__story_001,conv_87816233df544a0b937267963defe581
llama-70b__gpt-4.1-2025-04-14__story_002,conv_a4ed21f7ca104807b9a9d0ad3306b343
llama-70b__gpt-4.1-2025-04-14__story_003,conv_6555ccef181c4b31b37d68cee3d3698b
llama-70b__gpt-4.1-2025-04-14__story_004,conv_0ac4c30d744042fea1e4c338507d1c33
llama-70b__gpt-4.1-2025-04-14__story_005,conv_24476b5202864b1ab56881db9d44f19e
llama-70b__gpt-4.1-2025-04-14__story_006,conv_c99b39f56f074087a26247b0b7ac2163
llama-70b__gpt-4.1-2025-04-14__story_007,conv_2a126ff186074443bd5a0d03e8976c30
llama-70b__llama-70b__story_001,conv_dc57b3449b8a4ae9a2595f66199ff7ad
llama-70b__llama-70b__story_002,conv_45ef4ab1c6034ce7bb6939a519fca4db
llama-70b__llama-70b__story_003,conv_04eca406e5114ba4ae5938ba19a52e8d
llama-70b__llama-70b__story_004,conv_51d774c5fb2f42139ec505986712395b
llama-70b__llama-70b__story_005,conv_bb18393399c2480f8f1c02dd58a30e00
llama-70b__llama-70b__story_006,conv_154bc605357247a684642fbdc77fb8cc
llama-70b__llama-70b__story_007,conv_6b3761f56ece495e8fa32d18e652921e
llama-70b__qwen-72b__story_001,conv_99564fb0e40f4012a3d98e028e94d014
llama-70b__qwen-72b__story_002,conv_db27495265644fc88789058fc40bf4f7
llama-70b__qwen-72b__story_003,conv_4f8dd055daf24e77a953e5a4974ccb10
llama-70b__qwen-72b__story_005,conv_63904aa4d0f6426d8d4f7fc7e059f011
llama-70b__qwen-72b__story_006,conv_218db07ebe0d4941915e4d31848a9bb3
llama-70b__qwen-72b__story_007,conv_447ec2808e22481cbc3ffac9441e62ec
qwen-72b__claude-sonnet-4-5-20250929__story_001,conv_820170dc479945598aabc2329d0923e5
qwen-72b__claude-sonnet-4-5-20250929__story_003,conv_eed72ce1cdf74fce9cdeff745a0f39b5
qwen-72b__claude-sonnet-4-5-20250929__story_004,conv_90e60b7b04cf4c65ac93d42f943fa553
qwen-72b__claude-sonnet-4-5-20250929__story_005,conv_fb58032555404b07a98fd239af3a58e0
qwen-72b__claude-sonnet-4-5-20250929__story_006,conv_34a66c99abe94e008bacb405e83c8f3f
qwen-72b__claude-sonnet-4-5-20250929__story_007,conv_5da754b0290141cc80c4b676ad446ab6
qwen-72b__gpt-4.1-2025-04-14__story_001,conv_c04ea564ba1a40c9807f05507bdc7b82
qwen-72b__gpt-4.1-2025-04-14__story_002,conv_320368511ab74cf597669a178dd61b34
qwen-72b__gpt-4.1-2025-04-14__story_003,conv_b8bd22f858184e799a46041b7a367ef2
qwen-72b__gpt-4.1-2025-04-14__story_004,conv_1ef503f8e6804a4e93cf8f206c4aee03
qwen-72b__gpt-4.1-2025-04-14__story_005,conv_18e7fa5664874ead8907eb3433b94eb5
qwen-72b__gpt-4.1-2025-04-14__story_006,conv_24978713ad074a04a9ea3ef06c1372f5
qwen-72b__gpt-4.1-2025-04-14__story_007,conv_e9071688131c4ce89808855b1b96ae02
qwen-72b__llama-70b__story_001,conv_4c0bdefc8e1b4445bc06b61b85a48ccc
qwen-72b__llama-70b__story_002,conv_9778f6dd55374d96b95ce19447631fdf
qwen-72b__llama-70b__story_003,conv_086bf9d86dea469dbc971214928f5ec2
qwen-72b__llama-70b__story_004,conv_d67884e4c9c04edc8f594156de7976ec
qwen-72b__llama-70b__story_005,conv_1d9fc40aeae945d5bd47f9580152b4be
qwen-72b__llama-70b__story_006,conv_15296c71080a4ec0a92f255ebb3995a2
qwen-72b__llama-70b__story_007,conv_18968c3dc28349bca7a0aa79a18a1e67
qwen-72b__qwen-72b__story_001,conv_36f85df67b4b4051a6b71b346809e18b
qwen-72b__qwen-72b__story_003,conv_0df93b0a16cc43bc81ca20dd9e9eb410
qwen-72b__qwen-72b__story_004,conv_83e51c6a6de5457abd7ec3c607dd3d43
qwen-72b__qwen-72b__story_005,conv_849f626d0c914b818c0c911f43a97514
qwen-72b__qwen-72b__story_006,conv_89c76f5f7f3a4f5ab81db81e505218b0
qwen-72b__qwen-72b__story_007,conv_6c04f338e4884130b378135748ddfd19
